identifier,resource_type,linked_level,link_required,one_per_level,priority,importance,example_names,source,comments
_CellWallThickness\.out$,roxas_CWT,analysis,x,x,1,optional,IMGNAME_CellWallThickness.out,roxas,required to rerun?
_RingInclination\.out$,roxas_ringinclination,analysis,x,x,1,optional,IMGNAME_RingInclination.out,roxas,required to rerun?
_JunkObjects[0-9]*\.scl$,roxas_junkobjects,analysis,x,,1,optional,IMGNAME_JunkObjects.scl; IMGNAME_JunkObjects2.scl; etc,roxas,required to rerun?
_proj\.rpf$,roxas_proj,analysis,x,x,1,optional,IMGNAME_proj.rpf,roxas,
\.metadata\.json$,rai_metadata,analysis,x,x,1,wanted,IMGNAME.metadata.json,roxas_ai,required to rerun
\.cells_table\.csv$,rai_cells_table,analysis,x,x,1,wanted,IMGNAME.cells_table.csv ,roxas_ai,or txt? only in old versions?
\.rings_table\.csv$,rai_rings_table,analysis,x,x,1,wanted,IMGNAME.rings_table.csv,roxas_ai,or txt? only in old versions?
\.cells\.png$,rai_image_cells,analysis,x,x,1,wanted,IMGNAME.cells.png,roxas_ai,required to rerun
\.rings\.(tif|tiff)$,rai_image_rings,analysis,x,x,1,wanted,IMGNAME.rings.tiff,roxas_ai,required to rerun
_annotated\.(jpg|jpeg|png)$,rai_image_annotated,analysis,x,x,1,wanted,IMGNAME_annotated.jpg,roxas_ai,distinguish from roxas_image_annotated by roxas_version
^Thumbs\.db$,junk,,,,0,remove,Thumbs.db,system,
_annotated\.cal$,junk,,,,0,remove,IMGNAME_annotated.cal,roxas,
Preview\.cal$,junk,,,,0,remove,SLIDENAME_Preview.cal,roxas,
_ReferenceSeries(Long|_Original)?\.cal$,junk,,,,0,remove,IMGNAME_ReferenceSeries.cal,roxas,
_TRACHEIDMASK\.(tif|tiff)$,junk,,,,0,remove,IMGNAME_TRACHEIDMASK.tif,roxas,
~RF([:alnum:]+)\.TMP$,junk,,,,0,remove,FILENAME~RF6c4558.TMP,system,
^~\$,junk,,,,0,remove,~$IMGNAME_Output.xlsx,system,
^desktop\.ini$,junk,,,,0,remove,desktop.ini,system,
\.DS_Store$,junk,,,,0,remove,.DS_Store,system,
^\._,junk,,,,0,remove,._IMGNAME.jpg,system,AppleDouble resource-fork sidecar files; also covers __MACOSX/ zip entries since matching is on basename
